DSMZ;Cq;N0_(indiv_eff);Genus;Species
1333;11.687;3.17E-01;Saccharomyces;cerevisiae
1386;10.925;4.61E-01;Candida;albicans
1623;11.821;3.57E-01;Aspergillus;penicillioides
6170;16.962;1.52E-02;Malassezia;furfur
3847;12.241;2.65E-01;Simplicillium;lamellicola
27152;35.022;1.89E-07;Aureobasidium;pullulans
1079;21.463;9.59E-04;Penicillium;roqueforti
27774;12.073;2.53E-01;Cryptococcus;victoriae
6381;10.438;6.51E-01;Meyerozyma;guilliermondii
70403;40.662;3.26E-09;Rhodotorula;mucilaginosa
3433;9.043;1.56E+00;Issatchenkia;orientalis
27485;12.027;2.66E-01;Taphrina;antarctica
